//tau lambda mean lower_bound upper_bound
0.469894 3.981 0.652383 0.638715 0.666051
0.474242 3.984 0.650708 0.636796 0.664621
0.47863 3.983 0.646632 0.632693 0.660571
0.483059 3.984 0.655697 0.641925 0.669468
0.487528 3.971 0.653479 0.639774 0.667185
0.49204 3.98 0.650616 0.636708 0.664524
0.496592 3.987 0.648703 0.634899 0.662508
0.501187 3.984 0.656125 0.642469 0.669782
0.505825 3.99 0.640964 0.627492 0.654437
0.510505 3.985 0.647068 0.633427 0.660709
0.515229 3.987 0.637829 0.624182 0.651476
0.519996 3.984 0.636898 0.623149 0.650646
0.524807 3.986 0.638039 0.624257 0.651822
0.529663 3.99 0.629273 0.615738 0.642808
0.534564 3.991 0.626289 0.612669 0.639909
0.539511 3.994 0.613798 0.600282 0.627315
0.544503 3.995 0.626192 0.612526 0.639858
0.549541 3.991 0.625168 0.611569 0.638767
0.554626 3.994 0.6193 0.605401 0.633198
0.559758 3.993 0.609993 0.596457 0.623528
0.564937 3.996 0.615135 0.601682 0.628589
0.570164 3.989 0.614583 0.600912 0.628254
0.57544 3.994 0.601891 0.588584 0.615197
0.580764 3.996 0.606473 0.593052 0.619894
0.586138 3.999 0.611116 0.597686 0.624546
0.591562 3.996 0.60214 0.588591 0.615688
0.597035 3.996 0.594333 0.581013 0.607652
0.60256 3.996 0.601582 0.587981 0.615184
0.608135 3.996 0.602988 0.589348 0.616628
0.613762 3.999 0.583677 0.570353 0.597002
0.619441 3.999 0.587701 0.574397 0.601005
0.625173 3.995 0.582935 0.569755 0.596115
0.630957 4 0.581825 0.568588 0.595062
0.636796 3.998 0.57545 0.562264 0.588636
0.642688 3.991 0.586283 0.572968 0.599599
0.648634 3.999 0.570007 0.557386 0.582629
0.654636 3.999 0.572707 0.559498 0.585916
0.660693 3.993 0.57067 0.557351 0.583989
0.666807 3.999 0.578609 0.565748 0.59147
0.672977 3.998 0.570398 0.557257 0.58354
0.679204 3.999 0.562542 0.550063 0.575021
0.685488 3.995 0.564957 0.552058 0.577857
0.691831 4 0.576869 0.56369 0.590047
0.698232 3.999 0.559148 0.546291 0.572006
0.704693 4 0.55804 0.544794 0.571285
0.711214 3.996 0.548949 0.536133 0.561765
0.717794 4 0.554076 0.541183 0.56697
0.724436 3.999 0.549114 0.536068 0.56216
0.731139 4 0.552943 0.54041 0.565477
0.737904 3.998 0.533999 0.521555 0.546444
0.744732 4 0.546521 0.534056 0.558987
0.751623 4 0.554923 0.542072 0.567775
0.758578 4 0.545996 0.533493 0.558499
0.765597 4 0.532073 0.519843 0.544303
0.772681 4 0.540469 0.528072 0.552867
0.77983 4 0.531397 0.519031 0.543763
0.787046 3.998 0.53349 0.521009 0.545971
0.794328 4 0.531042 0.518908 0.543176
0.801678 4 0.513497 0.501623 0.525371
0.809096 3.998 0.522076 0.510043 0.534109
0.816582 4 0.527652 0.515438 0.539866
0.824138 4 0.520784 0.50847 0.533098
0.831764 4 0.51581 0.50364 0.527981
0.83946 4 0.506489 0.494895 0.518082
0.847227 4 0.511691 0.500075 0.523308
0.855067 4 0.510434 0.498538 0.522331
0.862979 3.999 0.495385 0.483613 0.507156
0.870964 3.999 0.500588 0.488931 0.512244
0.879023 4 0.501289 0.489612 0.512966
