//tau lambda mean lower_bound upper_bound
0.42462 7 0.824896 0.823718 0.826075
0.428549 7 0.822105 0.820965 0.823245
0.432514 7 0.818723 0.817499 0.819947
0.436516 7 0.815336 0.814131 0.816542
0.440555 8 0.811346 0.810122 0.81257
0.444631 8 0.807643 0.806363 0.808922
0.448745 8 0.804295 0.803005 0.805584
0.452898 8 0.799846 0.798547 0.801145
0.457088 8 0.797674 0.796352 0.798996
0.461318 8 0.794513 0.793141 0.795885
0.465586 8 0.790763 0.789375 0.79215
0.469894 8 0.786428 0.785055 0.787802
0.474242 8 0.782429 0.781028 0.783829
0.47863 8 0.779078 0.77767 0.780487
0.483059 8 0.775694 0.774284 0.777105
0.487528 8 0.769917 0.768459 0.771374
0.49204 8 0.766769 0.765372 0.768167
0.496592 8 0.764475 0.763019 0.765931
0.501187 8 0.759633 0.758121 0.761145
0.505825 8 0.755031 0.753582 0.75648
0.510505 8 0.751763 0.750265 0.753261
0.515229 8 0.747801 0.746346 0.749257
0.519996 8 0.743964 0.742449 0.745479
0.524807 8 0.740657 0.739175 0.742139
0.529663 8 0.734542 0.733014 0.736071
0.534564 8 0.732502 0.730934 0.73407
0.539511 8 0.728026 0.72649 0.729562
0.544503 8 0.724181 0.722644 0.725718
0.549541 8 0.721679 0.720032 0.723326
0.554626 8 0.716753 0.715179 0.718327
0.559758 8 0.712841 0.711209 0.714472
0.564937 8 0.708001 0.706387 0.709616
0.570164 8 0.703918 0.702306 0.70553
0.57544 8 0.701891 0.700321 0.703462
0.580764 8 0.69738 0.695728 0.699032
0.586138 8 0.693042 0.69139 0.694694
0.591562 8 0.687626 0.685937 0.689315
0.597035 8 0.683368 0.681771 0.684966
0.60256 8 0.680408 0.678728 0.682087
0.608135 8 0.675643 0.673963 0.677323
0.613762 8 0.669779 0.668074 0.671484
0.619441 8 0.667259 0.665537 0.668982
0.625173 8 0.663344 0.661659 0.665028
0.630957 8 0.658064 0.656367 0.659761
0.636796 8 0.655318 0.653554 0.657081
0.642688 8 0.651419 0.6497 0.653139
0.648634 8 0.647743 0.64606 0.649426
0.654636 8 0.642897 0.641137 0.644657
0.660693 8 0.638866 0.637185 0.640548
0.666807 8 0.632792 0.631145 0.634439
0.672977 8 0.63103 0.629288 0.632771
0.679204 8 0.625214 0.623418 0.62701
0.685488 8 0.623176 0.621466 0.624886
0.691831 8 0.616338 0.614671 0.618004
0.698232 8 0.616194 0.614497 0.617892
0.704693 8 0.609438 0.607795 0.61108
0.711214 8 0.606918 0.605248 0.608589
0.717794 8 0.601783 0.600045 0.603521
0.724436 8 0.59774 0.596024 0.599457
0.731139 8 0.593328 0.591575 0.595082
0.737904 8 0.590045 0.588318 0.591772
0.744732 8 0.58453 0.582806 0.586254
0.751623 8 0.579873 0.578186 0.581561
0.758578 8 0.577229 0.575541 0.578918
0.765597 8 0.57362 0.571936 0.575304
0.772681 8 0.567379 0.565657 0.5691
0.77983 8 0.56584 0.564122 0.567557
0.787046 8 0.562093 0.560424 0.563763
0.794328 8 0.556639 0.554976 0.558302
0.801678 8 0.554189 0.552519 0.555858
0.809096 8 0.549264 0.547543 0.550984
0.816582 8 0.54519 0.543557 0.546824
0.824138 8 0.54137 0.539687 0.543054
0.831764 8 0.538587 0.536935 0.540238
0.83946 8 0.533391 0.531744 0.535038
0.847227 8 0.530215 0.52858 0.531851
0.855067 8 0.525842 0.524197 0.527488
0.862979 8 0.521727 0.520056 0.523398
0.870964 8 0.520533 0.518872 0.522193
0.879023 8 0.515032 0.513355 0.516709
0.887156 8 0.509741 0.508086 0.511396
0.895365 8 0.508133 0.506488 0.509779
0.903649 8 0.50325 0.501627 0.504873
0.912011 8 0.499452 0.4979 0.501005
0.92045 8 0.496603 0.495046 0.49816
0.928966 8 0.491723 0.490144 0.493302
0.937562 8 0.486832 0.48524 0.488424
0.946237 8 0.485639 0.484012 0.487266
0.954993 8 0.481361 0.479797 0.482924
0.963829 8 0.477772 0.476257 0.479287
0.972747 8 0.474604 0.47304 0.476168
0.981748 8 0.469577 0.468011 0.471144
0.990832 8 0.467586 0.466004 0.469168
1 8 0.463024 0.461429 0.46462
1.00925 8 0.459078 0.45747 0.460685
1.01859 8 0.456172 0.454661 0.457683
1.02802 8 0.451872 0.450292 0.453452
1.03753 8 0.448423 0.44692 0.449926
1.04713 8 0.444399 0.442871 0.445926
1.05682 8 0.442134 0.44064 0.443628
1.0666 8 0.438753 0.437293 0.440212
1.07647 8 0.435207 0.433719 0.436696
1.08643 8 0.430684 0.429197 0.432171
1.09648 8 0.427395 0.425947 0.428844
1.10662 8 0.424091 0.422615 0.425566
1.11686 8 0.422128 0.420722 0.423534
1.1272 8 0.417304 0.415835 0.418773
1.13763 8 0.414627 0.413202 0.416053
1.14815 8 0.410546 0.409119 0.411973
1.15878 8 0.409088 0.407677 0.410499
1.1695 8 0.405029 0.403654 0.406404
1.18032 8 0.401573 0.400238 0.402909
1.19124 8 0.397945 0.396623 0.399268
1.20226 8 0.394939 0.393538 0.39634
1.21339 8 0.390674 0.389321 0.392027
1.22462 8 0.387727 0.386399 0.389056
1.23595 8 0.386121 0.38475 0.387491
1.24738 8 0.381678 0.380356 0.383
1.25893 8 0.379965 0.37862 0.381311
1.27057 8 0.376625 0.375338 0.377911
1.28233 8 0.373541 0.37225 0.374832
1.2942 8 0.370462 0.369209 0.371715
1.30617 8 0.367689 0.366442 0.368935
1.31826 8 0.365504 0.364227 0.366782
1.33045 8 0.362114 0.360891 0.363338
1.34276 8 0.358436 0.357208 0.359665
1.35519 8 0.354834 0.353633 0.356035
1.36773 8 0.352886 0.351701 0.354071
1.38038 8 0.350105 0.348946 0.351263
1.39316 8 0.348105 0.346908 0.349302
1.40605 8 0.344858 0.343674 0.346042
